Name,Tagline,Technologies,Topics
OpenVINO Toolkit,Make AI inference faster and easier to deploy!,python - c++ - x86,deep learning - Neural networks - Edge AI - DL-inference
OpenWISP,The Hackable Network Management System,python - javascript - django - lua - openwrt,networking - network management system - wifi - vpn - sdn
Oppia Foundation,Free platform for interactive - tutor-like lessons,python - google app engine - angular - typescript,education - web - community - nonprofit - social impact
Orcasound,Humans & AI listening together to save the whales.,python - javascript - raspberry pi - elixir - NextJs,web - audio - ai - acoustics - community science
Organic Maps,Offline maps app for tourists - cyclers & hikers,android - java - c++ - ios - OpenStreetMap,privacy - maps - navigation - mobile - offline
OSGeo (Open Source Geospatial Foundation),The Open Source Geospatial Foundation,c - python - javascript - java - c++,open science - gis - citizen science - geolocation - mapping
Our World In Data,Explaining the world's biggest problems with data,python - mysql - d3 - typescript - pandas,open data - data visualisation - Data cataloging
OWASP Foundation,No more insecure software.,python - javascript - java - ZAP - Juice Shop,web - cloud - application security - cybersecurity - DevSecOps
PEcAn Project,Develop and promote tools for ecosystem modeling,r - docker - api - geospatial,data science - ecosystem models - scientific visualization - climate science - Ecological Forecasting -
Performance Co-Pilot,System performance analysis,c - grafana - redis - htop - sysstat,metrics - visualization - distributed - performance - observability
Plone Foundation,Python-based CMS - with React front-end.,python - javascript - react,web - cms
Polypheny,The distributed and self-adaptive polystore,javascript - java - sql - angular,database - big data - cloud - polystore - nosql
PostgreSQL,The Most Advanced Open Source Relational Database,c - python - postgresql - javascript - sql,web - database - ui - sql - Benchmark
PowerDNS,PowerDNS provides open source DNS software,c++ - DNS,DNS recursive solutions - Authoritative DNS software
Processing Foundation,To empower all people to learn to program,python - javascript - android - java - opengl,education - web - graphics - creative coding - design
Public Lab,Tools for communities to measure pollution,javascript - ruby on rails,science - environment - community - documentation - forum
Purr Data,Realtime Audio/Visual Programming Environment,c - javascript - html5 - Emscripten,web - graphics - audio - realtime
Python Software Foundation,A programming language used for science & more,python - javascript - sqlite,security - database - science - design
QEMU,Open source machine emulator and virtualizer,c - python - linux - rust,systems programming - kernel - compiler - emulator - hypervisor
R project for statistical computing,R software for statistical computing & graphics,c - javascript - c++ - r-project - fortran,visualization - machine learning - data science - graphics - statistics
